14787     Fri. Oct 20, 2017          5          3          0     
14785     Thu. Oct 19, 2017          1          3          4     
14783     Wed. Oct 18, 2017          3          2          7     
14781     Tue. Oct 17, 2017          6          1          4     
14779     Mon. Oct 16, 2017          0          8          5     
14777     Sun. Oct 15, 2017          0          5          9     
14775     Sat. Oct 14, 2017          9          2          1     
14773     Fri. Oct 13, 2017          2          1          8     
14771     Thu. Oct 12, 2017          3          1          5     
14769     Wed. Oct 11, 2017          1          7          7     
14767     Tue. Oct 10, 2017          1          6          7     
14765     Mon. Oct 09, 2017          6          3          5     
14763     Sun. Oct 08, 2017          4          2          5     
14761     Sat. Oct 07, 2017          5          7          3     
14759     Fri. Oct 06, 2017          7          0          5     
14757     Thu. Oct 05, 2017          2          7          9     
14755     Wed. Oct 04, 2017          4          0          4     
14753     Tue. Oct 03, 2017          2          9          3     
14751     Mon. Oct 02, 2017          4          0          8     
14749     Sun. Oct 01, 2017          0          6          5     
14747     Sat. Sep 30, 2017          4          2          2     
14745     Fri. Sep 29, 2017          9          9          0     
14743     Thu. Sep 28, 2017          8          0          1     
14741     Wed. Sep 27, 2017          6          3          3     
14739     Tue. Sep 26, 2017          2          7          7     
14737     Mon. Sep 25, 2017          9          4          2     
14735     Sun. Sep 24, 2017          4          2          4     
14733     Sat. Sep 23, 2017          9          9          5     
14731     Fri. Sep 22, 2017          3          3          8     
14729     Thu. Sep 21, 2017          3          9          0     
14727     Wed. Sep 20, 2017          8          1          4     
14725     Tue. Sep 19, 2017          0          8          3     
14723     Mon. Sep 18, 2017          4          2          3     
14721     Sun. Sep 17, 2017          7          3          9     
14719     Sat. Sep 16, 2017          5          4          4     
14717     Fri. Sep 15, 2017          3          4          4     
14715     Thu. Sep 14, 2017          7          0          9     
14713     Wed. Sep 13, 2017          0          6          5     
14711     Tue. Sep 12, 2017          0          2          2     
14709     Mon. Sep 11, 2017          5          0          7     
14707     Sun. Sep 10, 2017          2          1          4     
14705     Sat. Sep 09, 2017          1          4          4     
14703     Fri. Sep 08, 2017          5          0          6     
14701     Thu. Sep 07, 2017          2          3          7     
14699     Wed. Sep 06, 2017          5          8          0     
14697     Tue. Sep 05, 2017          6          1          4     
14695     Mon. Sep 04, 2017          0          1          6     
14693     Sun. Sep 03, 2017          7          7          3     
14691     Sat. Sep 02, 2017          1          8          6     
14689     Fri. Sep 01, 2017          3          6          6     
14687     Thu. Aug 31, 2017          3          5          1     
14685     Wed. Aug 30, 2017          5          3          9     
14683     Tue. Aug 29, 2017          6          3          5     
14681     Mon. Aug 28, 2017          0          1          2     
14679     Sun. Aug 27, 2017          3          8          0     
14677     Sat. Aug 26, 2017          0          7          1     
14675     Fri. Aug 25, 2017          8          5          5     
14673     Thu. Aug 24, 2017          4          5          5     
14671     Wed. Aug 23, 2017          9          1          7     
14669     Tue. Aug 22, 2017          8          2          2     
14667     Mon. Aug 21, 2017          0          5          8     
14665     Sun. Aug 20, 2017          2          2          7     
14663     Sat. Aug 19, 2017          0          4          2     
14661     Fri. Aug 18, 2017          5          2          8     
14659     Thu. Aug 17, 2017          4          1          0     
14657     Wed. Aug 16, 2017          8          3          9     
14655     Tue. Aug 15, 2017          1          4          2     
14653     Mon. Aug 14, 2017          5          3          1     
14651     Sun. Aug 13, 2017          0          5          7     
14649     Sat. Aug 12, 2017          7          5          2     
14647     Fri. Aug 11, 2017          8          5          8     
14645     Thu. Aug 10, 2017          3          7          4     
14643     Wed. Aug 09, 2017          0          0          2     
14641     Tue. Aug 08, 2017          6          5          3     
14639     Mon. Aug 07, 2017          4          5          2     
14637     Sun. Aug 06, 2017          9          9          4     
14635     Sat. Aug 05, 2017          5          7          1     
14633     Fri. Aug 04, 2017          0          5          5     
14631     Thu. Aug 03, 2017          6          6          0     
14629     Wed. Aug 02, 2017          5          2          2     
14627     Tue. Aug 01, 2017          6          4          0     
14625     Mon. Jul 31, 2017          2          4          9     
14623     Sun. Jul 30, 2017          0          0          1     
14621     Sat. Jul 29, 2017          4          5          2     
14619     Fri. Jul 28, 2017          7          0          2     
14617     Thu. Jul 27, 2017          0          8          3     
14615     Wed. Jul 26, 2017          6          6          5     
14613     Tue. Jul 25, 2017          6          3          4     
14611     Mon. Jul 24, 2017          2          7          7     
14609     Sun. Jul 23, 2017          7          3          0     
14607     Sat. Jul 22, 2017          4          8          3     
14605     Fri. Jul 21, 2017          2          2          1     
14603     Thu. Jul 20, 2017          8          9          4     
14601     Wed. Jul 19, 2017          7          7          4     
14599     Tue. Jul 18, 2017          7          3          2     
14597     Mon. Jul 17, 2017          6          3          2     
14595     Sun. Jul 16, 2017          3          7          2     
14593     Sat. Jul 15, 2017          4          2          7     
14591     Fri. Jul 14, 2017          2          4          5     
14589     Thu. Jul 13, 2017          7          8          6     
14587     Wed. Jul 12, 2017          8          5          7     
14585     Tue. Jul 11, 2017          1          0          2     
14583     Mon. Jul 10, 2017          0          7          4     
14581     Sun. Jul 09, 2017          7          0          8     
14579     Sat. Jul 08, 2017          6          2          6     
14577     Fri. Jul 07, 2017          1          2          3     
14575     Thu. Jul 06, 2017          9          8          0     
14573     Wed. Jul 05, 2017          9          3          3     
14571     Tue. Jul 04, 2017          3          6          9     
14569     Mon. Jul 03, 2017          7          8          8     
14567     Sun. Jul 02, 2017          1          9          0     
14565     Sat. Jul 01, 2017          5          6          6     
14563     Fri. Jun 30, 2017          3          5          4     
14561     Thu. Jun 29, 2017          0          9          6     
14559     Wed. Jun 28, 2017          4          2          6     
14557     Tue. Jun 27, 2017          0          3          4     
14555     Mon. Jun 26, 2017          8          7          3     
14553     Sun. Jun 25, 2017          2          4          7     
14551     Sat. Jun 24, 2017          5          8          4     
14549     Fri. Jun 23, 2017          5          1          8     
14547     Thu. Jun 22, 2017          8          5          6     
14545     Wed. Jun 21, 2017          7          6          3     
14543     Tue. Jun 20, 2017          2          2          7     
14541     Mon. Jun 19, 2017          4          1          6     
14539     Sun. Jun 18, 2017          6          2          6     
14537     Sat. Jun 17, 2017          9          5          0     
14535     Fri. Jun 16, 2017          6          5          4     
14533     Thu. Jun 15, 2017          5          2          7     
14531     Wed. Jun 14, 2017          1          5          4     
14529     Tue. Jun 13, 2017          9          0          1     
14527     Mon. Jun 12, 2017          7          7          6     
14525     Sun. Jun 11, 2017          1          6          5     
14523     Sat. Jun 10, 2017          1          5          5     
14521     Fri. Jun 09, 2017          8          2          7     
14519     Thu. Jun 08, 2017          5          8          9     
14517     Wed. Jun 07, 2017          2          5          2     
14515     Tue. Jun 06, 2017          3          1          0     
14513     Mon. Jun 05, 2017          2          0          6     
14511     Sun. Jun 04, 2017          0          5          4     
14509     Sat. Jun 03, 2017          9          3          7     
14507     Fri. Jun 02, 2017          3          8          6     
14505     Thu. Jun 01, 2017          5          9          4     
14503     Wed. May 31, 2017          8          5          2     
14501     Tue. May 30, 2017          3          2          3     
14499     Mon. May 29, 2017          2          5          3     
14497     Sun. May 28, 2017          8          5          9     
14495     Sat. May 27, 2017          7          7          8     
14493     Fri. May 26, 2017          9          2          1     
14491     Thu. May 25, 2017          2          0          5     
14489     Wed. May 24, 2017          9          7          5     
14487     Tue. May 23, 2017          4          6          4     
14485     Mon. May 22, 2017          0          9          6     
14483     Sun. May 21, 2017          8          5          9     
14481     Sat. May 20, 2017          2          9          5     
14479     Fri. May 19, 2017          9          8          9     
14477     Thu. May 18, 2017          4          3          0     
14475     Wed. May 17, 2017          9          9          0     
14473     Tue. May 16, 2017          5          3          4     
14471     Mon. May 15, 2017          8          5          0     
14469     Sun. May 14, 2017          8          1          3     
14467     Sat. May 13, 2017          0          4          9     
14465     Fri. May 12, 2017          2          3          9     
14463     Thu. May 11, 2017          3          7          9     
14461     Wed. May 10, 2017          6          9          5     
14459     Tue. May 09, 2017          8          9          9     
14457     Mon. May 08, 2017          9          0          7     
14455     Sun. May 07, 2017          8          0          2     
14453     Sat. May 06, 2017          0          1          5     
14451     Fri. May 05, 2017          1          3          2     
14449     Thu. May 04, 2017          4          8          4     
14447     Wed. May 03, 2017          1          2          6     
14445     Tue. May 02, 2017          1          7          3     
14443     Mon. May 01, 2017          2          0          8     
14441     Sun. Apr 30, 2017          3          6          5     
14439     Sat. Apr 29, 2017          0          5          0     
14437     Fri. Apr 28, 2017          8          7          7     
14435     Thu. Apr 27, 2017          2          9          4     
14433     Wed. Apr 26, 2017          3          1          0     
14431     Tue. Apr 25, 2017          5          2          3     
14429     Mon. Apr 24, 2017          3          8          6     
14427     Sun. Apr 23, 2017          5          5          5     
14425     Sat. Apr 22, 2017          3          4          9     
14423     Fri. Apr 21, 2017          7          8          3     
14421     Thu. Apr 20, 2017          4          2          7     
14419     Wed. Apr 19, 2017          8          9          3     
14417     Tue. Apr 18, 2017          1          8          4     
14415     Mon. Apr 17, 2017          1          3          7     
14413     Sun. Apr 16, 2017          1          4          0     
14411     Sat. Apr 15, 2017          1          6          2     
14409     Fri. Apr 14, 2017          0          2          7     
14407     Thu. Apr 13, 2017          1          4          2     
14405     Wed. Apr 12, 2017          1          4          6     
14403     Tue. Apr 11, 2017          5          0          1     
14401     Mon. Apr 10, 2017          4          2          8     
14399     Sun. Apr 09, 2017          6          4          8     
14397     Sat. Apr 08, 2017          3          8          0     
14395     Fri. Apr 07, 2017          9          2          4     
14393     Thu. Apr 06, 2017          1          6          1     
14391     Wed. Apr 05, 2017          8          8          1     
14389     Tue. Apr 04, 2017          8          5          7     
14387     Mon. Apr 03, 2017          5          0          3     
14385     Sun. Apr 02, 2017          2          6          3     
14383     Sat. Apr 01, 2017          3          7          8     
14381     Fri. Mar 31, 2017          7          0          5     
14379     Thu. Mar 30, 2017          6          6          9     
14377     Wed. Mar 29, 2017          6          6          2     
14375     Tue. Mar 28, 2017          6          2          2     
14373     Mon. Mar 27, 2017          8          5          0     
14371     Sun. Mar 26, 2017          2          2          3     
14369     Sat. Mar 25, 2017          1          0          1     
14367     Fri. Mar 24, 2017          5          1          9     
14365     Thu. Mar 23, 2017          1          6          7     
14363     Wed. Mar 22, 2017          3          8          9     
14361     Tue. Mar 21, 2017          0          2          0     
14359     Mon. Mar 20, 2017          9          4          2     
14357     Sun. Mar 19, 2017          7          1          9     
14355     Sat. Mar 18, 2017          0          3          4     
14353     Fri. Mar 17, 2017          9          0          4     
14351     Thu. Mar 16, 2017          5          0          3     
14349     Wed. Mar 15, 2017          5          1          0     
14347     Tue. Mar 14, 2017          8          0          1     
14345     Mon. Mar 13, 2017          5          3          8     
14343     Sun. Mar 12, 2017          1          4          3     
14341     Sat. Mar 11, 2017          3          7          2     
14339     Fri. Mar 10, 2017          4          7          3     
14337     Thu. Mar 09, 2017          5          8          0     
14335     Wed. Mar 08, 2017          5          1          4     
14333     Tue. Mar 07, 2017          7          9          9     
14331     Mon. Mar 06, 2017          9          4          6     
14329     Sun. Mar 05, 2017          7          6          1     
14327     Sat. Mar 04, 2017          1          3          5     
14325     Fri. Mar 03, 2017          5          3          3     
14323     Thu. Mar 02, 2017          5          8          1     
14321     Wed. Mar 01, 2017          9          6          8     
14319     Tue. Feb 28, 2017          4          8          9     
14317     Mon. Feb 27, 2017          5          8          8     
14315     Sun. Feb 26, 2017          4          2          1     
14313     Sat. Feb 25, 2017          6          1          4     
14311     Fri. Feb 24, 2017          5          2          0     
14309     Thu. Feb 23, 2017          4          4          1     
14307     Wed. Feb 22, 2017          5          0          2     
14305     Tue. Feb 21, 2017          3          9          9     
14303     Mon. Feb 20, 2017          9          8          4     
14301     Sun. Feb 19, 2017          3          4          9     
14299     Sat. Feb 18, 2017          9          7          0     
14297     Fri. Feb 17, 2017          7          8          7     
14295     Thu. Feb 16, 2017          8          2          4     
14293     Wed. Feb 15, 2017          0          0          6     
14291     Tue. Feb 14, 2017          4          6          5     
14289     Mon. Feb 13, 2017          8          0          4     
14287     Sun. Feb 12, 2017          4          5          3     
14285     Sat. Feb 11, 2017          7          7          2     
14283     Fri. Feb 10, 2017          8          4          0     
14281     Thu. Feb 09, 2017          2          1          2     
14279     Wed. Feb 08, 2017          2          3          8     
14277     Tue. Feb 07, 2017          9          7          4     
14275     Mon. Feb 06, 2017          8          3          5     
14273     Sun. Feb 05, 2017          9          6          2     
14271     Sat. Feb 04, 2017          7          0          3     
14269     Fri. Feb 03, 2017          1          2          1     
14267     Thu. Feb 02, 2017          1          3          5     
14265     Wed. Feb 01, 2017          6          1          2     
14263     Tue. Jan 31, 2017          7          0          4     
14261     Mon. Jan 30, 2017          8          4          5     
14259     Sun. Jan 29, 2017          2          5          0     
14257     Sat. Jan 28, 2017          7          1          6     
14255     Fri. Jan 27, 2017          5          1          2     
14253     Thu. Jan 26, 2017          2          6          6     
14251     Wed. Jan 25, 2017          3          4          0     
14249     Tue. Jan 24, 2017          4          7          7     
14247     Mon. Jan 23, 2017          1          2          9     
14245     Sun. Jan 22, 2017          3          0          7     
14243     Sat. Jan 21, 2017          9          4          8     
14241     Fri. Jan 20, 2017          5          6          0     
14239     Thu. Jan 19, 2017          2          7          3     
14237     Wed. Jan 18, 2017          6          4          0     
14235     Tue. Jan 17, 2017          7          6          4     
14233     Mon. Jan 16, 2017          7          0          3     
14231     Sun. Jan 15, 2017          1          5          2     
14229     Sat. Jan 14, 2017          6          8          0     
14227     Fri. Jan 13, 2017          6          3          6     
14225     Thu. Jan 12, 2017          8          7          6     
14223     Wed. Jan 11, 2017          4          8          4     
14221     Tue. Jan 10, 2017          7          1          8     
14219     Mon. Jan 09, 2017          9          2          7     
14217     Sun. Jan 08, 2017          5          3          8     
14215     Sat. Jan 07, 2017          2          4          1     
14213     Fri. Jan 06, 2017          1          0          8     
14211     Thu. Jan 05, 2017          8          6          8     
14209     Wed. Jan 04, 2017          0          8          7     
14207     Tue. Jan 03, 2017          3          8          8     
14205     Mon. Jan 02, 2017          1          7          7     
14203     Sun. Jan 01, 2017          2          8          0     
14201     Sat. Dec 31, 2016          0          7          1     
14199     Fri. Dec 30, 2016          5          7          5     
14197     Thu. Dec 29, 2016          6          8          5     
14195     Wed. Dec 28, 2016          9          5          8     
14193     Tue. Dec 27, 2016          5          4          5     
14191     Mon. Dec 26, 2016          3          8          9     
14189     Sun. Dec 25, 2016          6          7          9     
14187     Sat. Dec 24, 2016          5          7          2     
14185     Fri. Dec 23, 2016          2          1          4     
14183     Thu. Dec 22, 2016          4          2          1     
14181     Wed. Dec 21, 2016          8          9          1     
14179     Tue. Dec 20, 2016          3          3          2     
14177     Mon. Dec 19, 2016          0          9          4     
14175     Sun. Dec 18, 2016          4          4          9     
14173     Sat. Dec 17, 2016          7          7          8     
14171     Fri. Dec 16, 2016          6          8          0     
14169     Thu. Dec 15, 2016          0          0          6     
14167     Wed. Dec 14, 2016          7          3          1     
14165     Tue. Dec 13, 2016          8          3          2     
14163     Mon. Dec 12, 2016          7          6          2     
14161     Sun. Dec 11, 2016          9          9          1     
14159     Sat. Dec 10, 2016          0          9          1     
14157     Fri. Dec 09, 2016          9          9          2     
14155     Thu. Dec 08, 2016          4          6          9     
14153     Wed. Dec 07, 2016          8          4          0     
14151     Tue. Dec 06, 2016          0          6          1     
14149     Mon. Dec 05, 2016          2          7          3     
14147     Sun. Dec 04, 2016          7          4          1     
14145     Sat. Dec 03, 2016          0          0          6     
14143     Fri. Dec 02, 2016          5          7          9     
14141     Thu. Dec 01, 2016          2          7          8     
14139     Wed. Nov 30, 2016          5          8          1     
14137     Tue. Nov 29, 2016          1          8          8     
14135     Mon. Nov 28, 2016          4          5          8     
